setup_msg_id,setup_date_utc,team_a,team_b,predicted_winner,predicted_winner_short,entry1_kind,entry1_odds,entry1_team,entry1_msg_id,entry1_date_utc,entry2_kind,entry2_odds,entry2_team,entry2_msg_id,entry2_date_utc,end_type,end_msg_id,end_date_utc
17049,2025-02-16T14:02:42+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 3RD UP W,GUJRAT W MATCH WINNER - GUJRAT WOMEN GUJRAT WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 3RD UP W VS GUJRAT W MATCH WINNER - GUJRAT WOMEN GUJRAT WOMEN LIKH,GUJRAT WOMEN GUJRAT WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,FIRST,85p,UP W ENTRY KARO SAB.. 1 LIMIT S,17051,2025-02-16T14:06:43+00:00,,,,,,LOSS_CUT,17057,2025-02-16T15:17:35+00:00
17074,2025-02-17T14:18:47+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 4TH DELHI W,BANGLORE W MATCH WINNER - BANGLORE WOMEN BANGLORE WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 4TH DELHI W VS BANGLORE W MATCH WINNER - BANGLORE WOMEN BANGLORE WOMEN LIKH,BANGLORE WOMEN BANGLORE WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,FIRST,80p,DELHI W ENTRY KARO SAB.. 1 LIMI,17077,2025-02-17T14:25:41+00:00,,,,,,LOSS_CUT,17083,2025-02-17T15:30:20+00:00
17121,2025-02-19T13:58:21+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 6TH UP W,DELHI W MATCH WINNER - DELHI WOMEN DELHI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 6TH UP W VS DELHI W MATCH WINNER - DELHI WOMEN DELHI WOMEN LIKH,DELHI WOMEN DELHI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,FIRST,75p,UP W ENTRY KARO SABHI LOG.. 1 L,17125,2025-02-19T14:16:06+00:00,,,,,,LOSS_CUT,17134,2025-02-19T15:59:41+00:00
17207,2025-02-22T13:57:25+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 8TH UP W,DELHI W MATCH WINNER - DELHI WOMEN DELHI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 8TH UP W VS DELHI W MATCH WINNER - DELHI WOMEN DELHI WOMEN LIKH,DELHI WOMEN DELHI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,,,,,,,,,,,LOSS,17218,2025-02-22T17:22:32+00:00
17224,2025-02-23T09:23:14+00:00,CHAMPIONS TROPHY 2025 MATCH - 5TH INDIA,PAKISTAN MATCH WINNER - INDIA INDIA LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,CHAMPIONS TROPHY 2025 MATCH - 5TH INDIA VS PAKISTAN MATCH WINNER - INDIA INDIA LIKH,INDIA INDIA LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,,,,,,,,,,,WIN,17238,2025-02-23T16:09:22+00:00
17247,2025-02-24T14:06:25+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 9TH UP W,BANGLORE W MATCH WINNER - BANGLORE WOMEN BANGLORE WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 9TH UP W VS BANGLORE W MATCH WINNER - BANGLORE WOMEN BANGLORE WOMEN LIKH,BANGLORE WOMEN BANGLORE WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,FIRST,90p,UP W ENTRY KARO SABHI LOG.. 1 L,17250,2025-02-24T14:18:11+00:00,,,,,,LOSS_CUT,17255,2025-02-24T15:29:56+00:00
17272,2025-02-25T13:55:34+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 10TH GUJRAT W,DELHI W MATCH WINNER - DELHI WOMEN DELHI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 10TH GUJRAT W VS DELHI W MATCH WINNER - DELHI WOMEN DELHI WOMEN LIKH,DELHI WOMEN DELHI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,,,,,,,,,,,WIN,17280,2025-02-25T17:01:00+00:00
17287,2025-02-26T14:02:30+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 11TH UP W,MUMBAI W MATCH WINNER - MUMBAI WOMEN MUMBAI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 11TH UP W VS MUMBAI W MATCH WINNER - MUMBAI WOMEN MUMBAI WOMEN LIKH,MUMBAI WOMEN MUMBAI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,FIRST,80p,UP W ENTRY KARO SABHI LOG.. 1 L,17291,2025-02-26T14:17:47+00:00,,,,,,WIN,17305,2025-02-26T17:07:19+00:00
17317,2025-02-27T14:04:24+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 12TH GUJRAT W,BANGLORE W MATCH WINNER - BANGLORE WOMEN BANGLORE WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 12TH GUJRAT W VS BANGLORE W MATCH WINNER - BANGLORE WOMEN BANGLORE WOMEN LIKH,BANGLORE WOMEN BANGLORE WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,,,,,,,,,,,LOSS,17325,2025-02-27T17:07:17+00:00
17334,2025-02-28T14:04:07+00:00,WOMENS PREMIER LEAGUE 2025 MATCH - 13TH DELHI W,MUMBAI W MATCH WINNER - MUMBAI WOMEN MUMBAI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,WOMENS PREMIER LEAGUE 2025 MATCH - 13TH DELHI W VS MUMBAI W MATCH WINNER - MUMBAI WOMEN MUMBAI WOMEN LIKH,MUMBAI WOMEN MUMBAI WOMEN LIKH KE LELO 1001 BOND PAPER PE LIKH LO 1001 BINDAS HOKE KHELO 1001 D COMPANY - D COMANY,,,,,,,,,,,UNCLOSED,17349,2025-03-01T13:58:18+00:00
